tick,MEMRD_ADDR,MEMRD_DATA,CD16,FIDBO,RA,RT,RD,RB,RX,CSA_12_0
47828377,12025,0,0,1,4,12023,117,7654,4,4334
# MARK w2 tick=47828377
47828378,12025,0,0,1,4,12023,117,7654,4,4334
47828379,0,0,0,1,4,12023,117,7654,4,4334
47828380,0,0,0,1,4,12023,117,7654,4,4334
47828381,0,0,0,1,4,12023,117,7654,4,4334
47828382,0,51125,51125,1,4,12023,117,7654,4,4334
47828383,0,51125,51125,1,4,12023,117,7654,4,4334
47828384,0,51125,51125,1,4,12023,117,7654,4,4334
47828385,0,51125,51125,1,4,12023,117,7654,4,4334
47828386,0,0,51125,1,4,12023,117,7654,4,4334
47828387,0,0,51125,1,4,12023,117,7654,4,4334
47828388,0,0,51125,1,4,12023,117,7654,4,4334
47828389,0,0,51125,51125,4,12023,117,7654,4,4334
47828390,0,0,51125,51125,4,12023,117,7654,4,4334
47828391,0,0,51125,51125,4,12023,117,7654,4,4333
47828392,0,0,52522,52522,4,12023,117,7654,4,4333
47828393,0,0,52522,52522,4,12023,117,7654,4,4333
47829101,0,0,0,1,5,12023,117,7654,5,4333
47829102,0,0,0,1,5,12023,117,7654,5,4333
47829103,12025,0,0,1,5,12023,117,7654,5,4333
# MARK w2 tick=47829103
47829104,12025,0,0,1,5,12023,117,7654,5,4333
47829105,0,0,0,1,5,12023,117,7654,5,4333
47829106,0,0,0,1,5,12023,117,7654,5,4333
47829107,0,0,0,1,5,12023,117,7654,5,4333
47829108,0,51125,51125,1,5,12023,117,7654,5,4333
47829109,0,51125,51125,1,5,12023,117,7654,5,4333
47829110,0,51125,51125,1,5,12023,117,7654,5,4333
47829111,0,51125,51125,1,5,12023,117,7654,5,4333
47829112,0,0,51125,1,5,12023,117,7654,5,4333
47829113,0,0,51125,1,5,12023,117,7654,5,4333
47829114,0,0,51125,1,5,12023,117,7654,5,4333
47829115,0,0,51125,51125,5,12023,117,7654,5,4333
47829116,0,0,51125,51125,5,12023,117,7654,5,4334
47829117,0,0,51125,51125,5,12023,117,7654,5,377
47829118,0,0,0,377,5,12023,117,7654,5,377
47829119,0,0,0,377,5,12023,117,7654,5,377
47878775,0,0,0,1,4,12023,117,7654,4,4334
47878776,0,0,0,1,4,12023,117,7654,4,4334
47878777,12025,0,0,1,4,12023,117,7654,4,4334
# MARK w2 tick=47878777
47878778,12025,0,0,1,4,12023,117,7654,4,4334
47878779,0,0,0,1,4,12023,117,7654,4,4334
47878780,0,0,0,1,4,12023,117,7654,4,4334
47878781,0,0,0,1,4,12023,117,7654,4,4334
47878782,0,51125,51125,1,4,12023,117,7654,4,4334
47878783,0,51125,51125,1,4,12023,117,7654,4,4334
47878784,0,51125,51125,1,4,12023,117,7654,4,4334
47878785,0,51125,51125,1,4,12023,117,7654,4,4334
47878786,0,0,51125,1,4,12023,117,7654,4,4334
47878787,0,0,51125,1,4,12023,117,7654,4,4334
47878788,0,0,51125,1,4,12023,117,7654,4,4334
