tick,CSA,AREG,TREG,RX,RD,RB,CD16,MEMRD_ADDR,MEMRD_DATA,QREG,DBR
44039193,7260,177545,2,2771,55672,7732,126000,0,0,7732,7563
44039194,7260,177545,2,2771,55672,7732,126000,0,0,7732,7563
44039195,7260,177545,2,2771,55672,7732,126000,0,0,7732,7563
44039196,0,7563,2,2771,55672,7732,126000,0,0,7732,126000
44039197,0,7563,2,2771,55672,7732,0,0,0,7732,126000
44039198,2001,7563,2,2771,55672,7732,0,0,0,7732,126000
44039199,16771,7563,2,2771,55672,7732,0,0,0,7732,126000
44039200,16771,7563,2,2771,55672,7732,0,0,0,7732,126000
44039201,0,7563,2,2771,55672,7732,0,2771,0,7732,126000
44039202,6000,7563,2,2771,55672,7732,0,2771,0,7732,126000
44039203,6000,7563,2,2771,55672,7732,0,0,0,7732,126000
44039204,6000,7563,2,2771,55672,7732,0,0,0,7732,126000
44039205,6000,7563,2,2771,55672,7732,0,0,0,7732,126000
44039206,7461,7563,2,2771,55672,7732,146147,0,146147,7732,126000
44039207,7461,7563,2,2771,55672,7732,146147,0,146147,7732,126000
44039208,7461,7563,2,2771,55672,7732,146147,0,146147,7732,126000
44039209,7461,7563,2,2771,55672,7732,146147,0,146147,7732,126000
44039210,7461,7563,2,2771,55672,7732,146147,0,0,7732,126000
44039211,7461,7563,2,2771,55672,7732,146147,0,0,7732,126000
44039212,7461,7563,2,2771,55672,7732,146147,0,0,7732,126000
44039213,145,7563,2,2771,55672,7732,146147,0,0,7732,146147
44039214,145,7563,2,2771,55672,7732,0,0,0,7732,146147
44039215,0,7563,2,2771,55672,7732,0,0,0,7732,146147
44039216,16772,7563,2,2771,55672,7732,0,0,0,7732,146147
44039217,16772,7563,2,2771,55672,7732,0,0,0,7732,146147
44039218,0,7563,2,2771,55672,7732,0,2772,0,7732,146147
44039219,6000,7563,2,2771,55672,7732,0,2772,0,7732,146147
44039220,6000,7563,2,2771,55672,7732,0,0,0,7732,146147
44039221,6000,7563,2,2771,55672,7732,0,0,0,7732,146147
44039222,6000,7563,2,2771,55672,7732,0,0,0,7732,146147
44039223,6141,7563,2,2771,55672,7732,14106,0,14106,7732,146147
44039224,6141,7563,2,2771,55672,7732,14106,0,14106,7732,146147
44039225,6141,7563,2,2771,55672,7732,14106,0,14106,7732,146147
44039226,6141,7563,2,2771,55672,7732,14106,0,14106,7732,146147
44039227,6141,7563,2,2771,55672,7732,14106,0,0,7732,146147
44039228,6141,7563,2,2771,55672,7732,14106,0,0,7732,146147
44039229,6141,7563,2,2771,55672,7732,14106,0,0,7732,146147
44039230,145,7563,2,55672,55672,7732,55776,0,0,7732,14106
44039231,145,7563,2,55672,55672,7732,55672,0,0,7732,14106
44039232,0,7563,2,55672,55672,7732,55672,0,0,7732,14106
44039233,0,7563,2,55672,55672,7732,55672,0,0,7732,14106
44039234,0,7563,2,55672,55672,7732,55672,0,0,7732,14106
44039235,0,7563,2,55672,55672,7732,55672,3100,0,7732,14106
44039236,0,7563,2,55672,55672,7732,55672,3100,0,7732,14106
44039237,0,7563,2,55672,55672,7732,55672,0,0,7732,14106
44039238,0,7563,2,55672,55672,7732,55672,55672,0,7732,14106
44039239,0,7563,2,55672,55672,7732,0,55672,0,7732,55672
44039240,0,7563,2,55672,55672,7732,0,55672,0,7732,55672
44039241,2001,7563,2,55672,55672,7732,0,55672,0,7732,55672
44039242,16773,7563,2,55672,55672,7732,0,55672,0,7732,55672
44039243,16773,7563,2,55672,55672,7732,0,55672,0,7732,55672
44039244,0,7563,2,55672,55672,7732,0,55672,0,7732,55672
44039245,0,7563,2,55672,55672,7732,0,0,0,7732,55672
44039246,0,7563,2,55672,55672,7732,0,2773,0,7732,55672
44039247,6000,7563,2,55672,55672,7732,0,2773,0,7732,55672
44039248,6000,7563,2,55672,55672,7732,0,0,0,7732,55672
44039249,6000,7563,2,55672,55672,7732,0,0,0,7732,55672
44039250,6000,7563,2,55672,55672,7732,0,0,0,7732,55672
44039251,7461,7563,2,55672,55672,7732,146157,0,146157,7732,55672
44039252,7461,7563,2,55672,55672,7732,146157,0,146157,7732,55672
44039253,7461,7563,2,55672,55672,7732,146157,0,146157,7732,55672
44039254,7461,7563,2,55672,55672,7732,146157,0,146157,7732,55672
44039255,7461,7563,2,55672,55672,7732,146157,0,0,7732,55672
44039256,7461,7563,2,55672,55672,7732,146157,0,0,7732,55672
44039257,7461,7563,2,55672,55672,7732,146157,0,0,7732,55672
44039258,145,7563,2,55672,55672,7732,146157,0,0,7732,146157
44039259,145,7563,2,55672,55672,7732,0,0,0,7732,146157
44039260,0,7563,2,55672,55672,7732,0,0,0,7732,146157
44039261,16774,7563,2,55672,55672,7732,0,0,0,7732,146157
44039262,16774,7563,2,55672,55672,7732,0,0,0,7732,146157
44039263,0,7563,2,55672,55672,7732,0,2774,0,7732,146157
44039264,6000,7563,2,55672,55672,7732,0,2774,0,7732,146157
44039265,6000,7563,2,55672,55672,7732,0,0,0,7732,146157
44039266,6000,7563,2,55672,55672,7732,0,0,0,7732,146157
44039267,6000,7563,2,55672,55672,7732,0,0,0,7732,146157
44039268,6560,7563,2,55672,55672,7732,56000,0,56000,7732,146157
