tick,CD16,AREG,TREG,FIDBO,CPUIDB,IOIDB8,THR,TXBYTE,CSA_12_0
44133774,15,177777,110044,15,15,15,111,111,1131
44133775,15,177777,110044,15,15,15,111,111,1131
44133776,15,177777,110044,15,15,15,111,111,1133
44133777,2522,177777,110044,2522,2522,122,111,111,1133
# MARK idbR tick=44133777
44133778,2522,177777,110044,2522,2522,122,111,111,1133
44133779,2522,177777,110044,2522,2522,122,111,111,1134
44133780,15,177777,110044,15,15,15,111,111,1134
44133781,15,177777,110044,15,15,15,111,111,1135
44133837,7732,177777,110044,7732,7732,332,111,111,1151
44133838,7732,177777,110044,7732,7732,332,111,111,1151
44133839,7732,177777,110044,7732,7732,332,111,111,1151
44133840,2522,177777,110044,2522,2522,122,111,111,1151
# MARK idbR tick=44133840
44133841,2522,177777,110044,2522,2522,122,111,111,1151
44133842,2522,177777,110044,2522,2522,122,111,111,1151
44133843,55345,177777,110044,55345,55345,345,111,111,1151
44133844,55345,177777,110044,55345,55345,345,111,111,1151
44138843,15,177777,116400,15,15,15,111,111,1131
44138844,15,177777,116400,15,15,15,111,111,1131
44138845,15,177777,116400,15,15,15,111,111,1133
44138846,2522,177777,116400,2522,2522,122,111,111,1133
# MARK idbR tick=44138846
44138847,2522,177777,116400,2522,2522,122,111,111,1133
44138848,2522,177777,116400,2522,2522,122,111,111,1134
44138849,15,177777,116400,15,15,15,111,111,1134
44138850,15,177777,116400,15,15,15,111,111,1135
44139281,7732,177777,110044,7732,7732,332,111,111,1156
44139282,7732,177777,110044,7732,7732,332,111,111,1156
44139283,7732,177777,110044,7732,7732,332,111,111,1156
44139284,2522,177777,110044,2522,2522,122,111,111,1156
# MARK idbR tick=44139284
44139285,2522,177777,110044,2522,2522,122,111,111,1156
44139286,2522,177777,110044,2522,2522,122,111,111,1156
44139287,55345,177777,110044,55345,55345,345,111,111,1156
44139288,55345,177777,110044,55345,55345,345,111,111,1156
44143912,15,177777,110044,15,15,15,111,111,1131
44143913,15,177777,110044,15,15,15,111,111,1131
44143914,15,177777,110044,15,15,15,111,111,1133
44143915,2522,177777,110044,2522,2522,122,111,111,1133
# MARK idbR tick=44143915
44143916,2522,177777,110044,2522,2522,122,111,111,1133
44143917,2522,177777,110044,2522,2522,122,111,111,1134
44143918,15,177777,110044,15,15,15,111,111,1134
44143919,15,177777,110044,15,15,15,111,111,1135
44143975,7732,177777,110044,7732,7732,332,111,111,1151
