tick,CSA,AREG,TREG,RP,RA,RT,RX,RB,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.MWRITE50_n,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.DD_17_0_IN,RAM_IDX
45506043,0,125,74,22460,125,74,5,7753,0,0,51125,63206,0,400400,22464
45506044,0,125,74,22460,125,74,5,7753,0,0,51125,63206,0,400400,22464
45506045,0,125,74,22460,125,74,5,7753,0,0,51125,63206,0,400400,22000
45506046,0,125,74,22460,125,74,5,7753,0,0,51125,63206,0,400400,22011
45506047,0,125,74,22460,125,74,5,7753,63206,0,51125,63206,0,400000,22011
45506048,6000,125,74,22460,125,74,5,7753,63206,0,51125,63206,0,400000,22011
45506049,6000,125,74,22460,125,74,5,7753,0,0,51125,63206,1,0,22031
45506050,6000,125,74,22460,125,74,5,7753,0,0,51125,63206,1,0,62031
45506051,6000,125,74,22460,125,74,5,7753,0,0,51125,63206,1,0,63206
45506052,6546,125,74,22460,125,74,5,7753,0,54601,51125,63206,1,0,63206
45506053,6546,125,74,22460,125,74,5,7753,0,54601,51125,63206,1,0,63206
45506054,6546,125,74,22460,125,74,5,7753,0,54601,51125,63206,1,0,63206
45506055,6546,125,74,22460,125,74,5,7753,0,54601,51125,63206,1,0,62000
45506056,6546,125,74,22460,125,74,5,7753,0,0,51125,63206,1,400400,62031
45506057,6546,125,74,22460,125,74,5,7753,0,0,51125,63206,1,400400,62031
45506058,6546,125,74,22460,125,74,5,7753,0,0,51125,63206,0,400400,62031
45506059,174,125,74,63207,125,74,5,7753,0,0,51125,54601,0,400400,62031
45506060,174,125,74,63207,125,74,5,7753,0,0,51125,54601,0,400400,62031
45506061,0,125,74,63207,125,74,5,7753,0,0,51125,54601,0,400400,62031
45506062,0,125,74,63207,125,74,5,7753,0,0,51125,54601,0,400400,62031
45506063,0,125,74,63207,125,74,5,7753,0,0,51125,54601,0,400400,62031
45506064,0,125,74,63207,125,74,5,7753,7554,0,51125,54601,0,400400,62031
45506065,0,125,74,63207,125,74,5,7753,7554,0,51125,54601,0,400400,62031
45506066,0,125,74,63207,125,74,5,7753,0,0,51125,54601,1,0,62003
45506067,0,125,74,63207,125,74,5,7753,0,0,51125,54601,1,0,6003
45506068,0,125,74,63207,125,74,5,7753,0,0,51125,54601,1,0,7554
45506069,0,125,74,63207,125,74,5,7753,0,7732,51125,54601,1,0,7554
45506070,0,125,74,63207,125,74,5,7753,0,7732,51125,54601,1,0,7554
45506071,0,125,74,63207,125,74,5,7753,0,7732,51125,54601,1,0,7554
45506072,0,125,74,63207,125,74,5,7753,0,7732,51125,54601,1,0,6000
45506073,0,125,74,63207,125,74,5,7753,0,0,51125,54601,1,400400,6003
45506074,0,125,74,63207,125,74,5,7753,0,0,51125,54601,1,400400,6003
45506075,0,125,74,63207,125,74,5,7753,0,0,51125,54601,0,400400,6003
45506076,0,125,74,63207,125,74,5,7753,0,0,51125,7732,0,400400,6003
45506077,0,125,74,63207,125,74,5,7753,0,0,51125,7732,0,400400,6003
45506078,2001,125,74,63207,125,74,5,7753,0,0,51125,7732,0,400400,6003
